id,URL,Nome,Informação,Classificação_da_água,Coordenadas,Nome da Praia,Região,Concelho,Categoria,Qualidade da água,Vigilancia,Posto de socorro,Sanitarios,Duche,Recolha lixo,Limpeza praia,Painel informativo,Apoio balnear,Apoio à praia,Estacionamento,Bandeira Azul,Acessível,Cadeira anfíbia,Ondas especiais,Obras em curso,Risco de derrocada
10146368816,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/10146368816,Açude de Vais,"Época Balnear 2025, estado : Não iniciou, calendario : de 1 junho a 30 setembro",Excelente,"40.66478,-7.65721",Açude de Vais,CENTRO,PENALVA DO CASTELO,Praia Interior,Água interdita a banhos,Não,Não,Não,Não,Sim,Sim,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não
8979630776,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/8979630776,Praia do Forte (Farol),"Época Balnear 2025, estado : Não iniciou, calendario : de 31 maio a 21 setembro",Boa,"40.14678,-8.86782",Praia do Forte (Farol),CENTRO,FIGUEIRA DA FOZ,Praia Interior,Água adequada a banhos,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
8979630030,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/8979630030,Cabedelinho,"Época Balnear 2025, estado : Não iniciou, calendario : de 31 maio a 21 setembro",Boa,"40.143749,-8.866468",Cabedelinho,CENTRO,FIGUEIRA DA FOZ,Praia Interior,Água adequada a banhos,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Não,Não,Não
8979630658,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/8979630658,Albandeira,"Época Balnear 2025, estado : Não iniciou, calendario : de 1 junho a 30 setembro",Excelente,"37.09094,-8.39998",Albandeira,ALGARVE,LAGOA,Praia Costeira,Água adequada a banhos,Sim,Não,Sim,Não,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Sim
8979630660,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/8979630660,Marinha,"Época Balnear 2025, estado : Não iniciou, calendario : de 1 junho a 30 setembro",Excelente,"37.08957,-8.41286",Marinha,ALGARVE,LAGOA,Praia Costeira,Água adequada a banhos,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Sim
8979630314,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/8979630314,Furnas,"Época Balnear 2025, estado : Não iniciou, calendario : de 1 junho a 30 setembro",Excelente,"37.055,-8.85444",Furnas,ALGARVE,VILA DO BISPO,Praia Costeira,Água adequada a banhos,Não,Não,Não,Não,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não,Sim,Não,Sim
8979630286,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/8979630286,Zavial,"Época Balnear 2025, estado : Não iniciou, calendario : de 1 junho a 30 setembro",Excelente,"37.04615,-8.87158",Zavial,ALGARVE,VILA DO BISPO,Praia Costeira,Água adequada a banhos,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Sim
8979630316,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/8979630316,Martinhal,"Época Balnear 2025, estado : Não iniciou, calendario : de 1 junho a 30 setembro",Excelente,"37.01978,-8.92467",Martinhal,ALGARVE,VILA DO BISPO,Praia Costeira,Água adequada a banhos,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Sim
8979630502,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/8979630502,Beliche,"Época Balnear 2025, estado : Não iniciou, calendario : de 1 junho a 30 setembro",Excelente,"37.02529,-8.96411",Beliche,ALGARVE,VILA DO BISPO,Praia Costeira,Água adequada a banhos,Sim,Não,Não,Não,Sim,Sim,Não,Não,Sim,Sim,Não,Não,Não,Sim,Não,Sim
8979630150,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/8979630150,Barranco,"Época Balnear 2025, estado : Não iniciou, calendario : de 1 junho a 30 setembro",Excelente,"37.04208,-8.894734",Barranco,ALGARVE,VILA DO BISPO,Praia Costeira,Água adequada a banhos,Não,Não,Não,Não,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não,Sim,Não,Sim
