id,URL,Nome,Informação,Classificação_da_água,Coordenadas
10146368816,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/10146368816,Açude de Vais,"Época Balnear 2025, estado : Não iniciou, calendario : de 1 junho a 30 setembro",Excelente,"40.66478,-7.65721"
8979630776,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/8979630776,Praia do Forte (Farol),"Época Balnear 2025, estado : Não iniciou, calendario : de 31 maio a 21 setembro",Boa,"40.14678,-8.86782"
8979630030,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/8979630030,Cabedelinho,"Época Balnear 2025, estado : Não iniciou, calendario : de 31 maio a 21 setembro",Boa,"40.143749,-8.866468"
8979630658,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/8979630658,Albandeira,"Época Balnear 2025, estado : Não iniciou, calendario : de 1 junho a 30 setembro",Excelente,"37.09094,-8.39998"
8979630660,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/8979630660,Marinha,"Época Balnear 2025, estado : Não iniciou, calendario : de 1 junho a 30 setembro",Excelente,"37.08957,-8.41286"
8979630314,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/8979630314,Furnas,"Época Balnear 2025, estado : Não iniciou, calendario : de 1 junho a 30 setembro",Excelente,"37.055,-8.85444"
8979630286,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/8979630286,Zavial,"Época Balnear 2025, estado : Não iniciou, calendario : de 1 junho a 30 setembro",Excelente,"37.04615,-8.87158"
8979630316,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/8979630316,Martinhal,"Época Balnear 2025, estado : Não iniciou, calendario : de 1 junho a 30 setembro",Excelente,"37.01978,-8.92467"
8979630502,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/8979630502,Beliche,"Época Balnear 2025, estado : Não iniciou, calendario : de 1 junho a 30 setembro",Excelente,"37.02529,-8.96411"
8979630150,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/8979630150,Barranco,"Época Balnear 2025, estado : Não iniciou, calendario : de 1 junho a 30 setembro",Excelente,"37.04208,-8.894734"
8979630424,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/8979630424,Almargem,"Época Balnear 2025, estado : Não iniciou, calendario : de 1 junho a 30 setembro",Excelente,"37.05838,-8.08353"
8979630704,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/8979630704,Careanos/Amado,"Época Balnear 2025, estado : Não iniciou, calendario : de 1 junho a 30 setembro",Excelente,"37.11871,-8.55499"
8979630432,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/8979630432,Salema,"Época Balnear 2025, estado : Não iniciou, calendario : de 1 junho a 30 setembro",Excelente,"37.06476,-8.82482"
8979630854,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/8979630854,Três Castelos,"Época Balnear 2025, estado : Não iniciou, calendario : de 1 junho a 30 setembro",Excelente,"37.1176,-8.5483"
8979630420,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/8979630420,Almádena - Cabanas Velhas,"Época Balnear 2025, estado : Não iniciou, calendario : de 1 junho a 30 setembro",Excelente,"37.065217,-8.794877"
8979630210,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/8979630210,Ferragudo (Praia Grande),"Época Balnear 2025, estado : Não iniciou, calendario : de 1 junho a 30 setembro",Excelente,"37.11728,-8.52182"
8979630088,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/8979630088,Rocha,"Época Balnear 2025, estado : Não iniciou, calendario : de 1 junho a 30 setembro",Excelente,"37.11605,-8.53737"
8979630070,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/8979630070,Tonel,"Época Balnear 2025, estado : Não iniciou, calendario : de 1 junho a 30 setembro",Excelente,"37.00703,-8.9484"
8979630470,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/8979630470,Loulé Velho,"Época Balnear 2025, estado : Não iniciou, calendario : de 1 junho a 30 setembro",Excelente,"37.05554,-8.07816"
8979630810,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/8979630810,Barranco das Canas,"Época Balnear 2025, estado : Não iniciou, calendario : de 1 junho a 30 setembro",Excelente,"37.11938,-8.56381"
8979630760,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/8979630760,Alvor - Nascente,"Época Balnear 2025, estado : Não iniciou, calendario : de 1 junho a 30 setembro",Excelente,"37.120741,-8.58657"
8979630246,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/8979630246,Caneiros,"Época Balnear 2025, estado : Não iniciou, calendario : de 1 junho a 30 setembro",Excelente,"37.10486,-8.514"
9636731694,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/9636731694,Três Irmãos,"Época Balnear 2025, estado : Não iniciou, calendario : de 1 junho a 30 setembro",Excelente,"37.11947,-8.581812"
8979630680,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/8979630680,Burgau,"Época Balnear 2025, estado : Não iniciou, calendario : de 1 junho a 30 setembro",Excelente,"37.0716,-8.77521"
8979630798,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/8979630798,Mareta,"Época Balnear 2025, estado : Não iniciou, calendario : de 1 junho a 30 setembro",Excelente,"37.00503,-8.93986"
8979630178,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/8979630178,Boca do Rio,"Época Balnear 2025, estado : Não iniciou, calendario : de 1 junho a 30 setembro",Excelente,"37.06639,-8.80833"
